English_Name,Oruko(Yoruba_Name),English_Symptoms,Awọn aami aisan(Symptoms)
Tuberculosis,iko,"Persistent cough, weight loss, night sweats, fever, chest pain, coughing up blood","Ikọaláìdúró àìdára, àdánù làìpẹ, lagun alẹ, iba, irora àyà, ikọ ẹjẹ soke"
Strep Throat,Strep ọfun,"Sore throat, difficulty swallowing, red and swollen tonsils, fever, headache, rash","Ọfun ọgbẹ, iṣoro gbigbe, pupa ati tonsils wú, iba, orififo, sisu"
Whooping Cough,Ikọaláìdúró,"Severe coughing fits, whooping sound when inhaling, vomiting after coughing, exhaustion","Ikọaláìdúró ti o lagbara, ohun gbigbo nigba mimu simi, eebi lẹhin ikọ, irẹwẹsi"
Cholera,Arun kolera,"Watery diarrhea, dehydration, vomiting, rapid heart rate, low blood pressure","Igbẹ gbuuru omi, gbigbẹ, ìgbagbogbo, oṣuwọn okan iyara, titẹ ẹjẹ kekere"
Lyme Disease,Arun Lyme,"Bullseye rash, fever, chills, headache, fatigue, muscle and joint aches, swollen lymph nodes","Ẹ̀fọ́rí, ìbànújẹ́, rírẹ̀rẹ̀gẹ̀jigẹ̀, iṣan ara àti ìrora ìsokọ́ra, àwọn ọ̀rá tí ó wú"
Q fever,Iba Q,"High fever, severe headache, muscle pain, chills, fatigue, cough, nausea, vomiting, diarrhea","Iba giga, orififo nla, irora iṣan, otutu, rirẹ, Ikọaláìdúró, ríru, ìgbagbogbo, gbuuru"
Meningococcal disease,Arun meningococcal,"Sudden fever, headache, stiff neck, nausea, vomiting, sensitivity to light, confusion, rash","Iba lojiji, orififo, ọrùn lile, ríru, ìgbagbogbo, ifamọ si imọlẹ, iporuru, sisu"
Legionnaires disease,Arun Legionnaires,"Cough, shortness of breath, high fever, muscle aches, headaches, chills, confusion, diarrhea","Ikọaláìdúró, ìmí kuru, ibà giga, irora iṣan, orififo, otutu, idamu, gbuuru"
Pneumonia,Àìsàn òtútù àyà,"Cough, fever, chills, shortness of breath, chest pain, fatigue, nausea, vomiting, confusion","Ikọaláìdúró, iba, otutu, mimi kuru, irora àyà, rirẹ, ríru, ìgbagbogbo, iporuru"
Salmonellosis,Salmonellosis,"Diarrhea, fever, abdominal cramps, nausea, vomiting, headache","Ìgbẹ́ gbuuru, ibà, ìríra, ìríra, ìgbagbogbo, ẹ̀fọ́rí"
Campylobacteriosis,Campylobacteriosis,"Diarrhea (often bloody), fever, abdominal cramps, nausea, vomiting, fatigue","Ìgbẹ́ gbuuru (ọ̀pọ̀ ẹ̀jẹ̀ lọ́pọ̀lọpọ̀), ibà, ìríra, ìríra, ìgbagbogbo, àárẹ̀"
Chlamydia,Chlamydia,"Often asymptomatic; genital discharge, burning sensation during urination, pelvic pain","Nigbagbogbo asymptomatic; itujade ti ara, itara sisun lakoko ito, irora ibadi"
Paratyphoid fever ,Iba paratyphoid,"Prolonged fever, weakness, loss of appetite, headache, stomach pain, diarrhea or constipation","Iba gigun, ailera, isonu ti ounjẹ, orififo, irora inu, gbuuru tabi àìrígbẹyà
"
Rheumatic fever ,Ìbà ìbànújẹ́,"Fever, painful and swollen joints, rash, nodules under the skin, shortness of breath, fatigue","Iba, irora ati awọn isẹpo wiwu, sisu, nodules labẹ awọ ara, kuru ẹmi, rirẹ
"
Scarlet fever ,Ìbà pupa,"Red rash, red lines in skin folds, flushed face, strawberry tongue, high fever, sore throat","Pupa pupa, awọn ila pupa ni awọn agbo awọ ara, oju ti o fọ, ahọn iru eso didun kan, iba nla, ọfun ọgbẹ"
Impetigo,Impetigo,"Red sores, blisters, honey-colored crusts, itching","Awọn egbò pupa, roro, awọn erupẹ awọ oyin, nyún"
Cat scratch disease,o nran ibere arun,"Swollen lymph nodes, fever, fatigue, headache, blisters or bumps at the site of the scratch or bite","Awọn apa ọgbẹ ti o ni wiwu, iba, rirẹ, orififo, roro tabi bumps ni aaye ti ibere tabi jáni"
Trachoma,Trachoma,"Eye discharge, eye pain, swollen eyelids, trichiasis (inward growing eyelashes), vision loss","Sisọjade oju, irora oju, awọn ipenpeju wiwu, trichiasis (awọn ipenpeju ti o dagba ninu), pipadanu iran"
Psittacosis,Psittacosis,"Fever, chills, headache, muscle aches, dry cough, pneumonia","Iba, otutu, orififo, irora iṣan, Ikọaláìdúró gbígbẹ, pneumonia"
Yersiniosis,Yersiniosis,"Fever, abdominal pain, diarrhea (often bloody), joint pain","Iba, irora inu, gbuuru (nigbagbogbo ẹjẹ), irora apapọ"
Tropical ulcer,Tropical ulcer,"Painful sores or ulcers on the skin, often with surrounding redness and swelling","Awọn egbò irora tabi ọgbẹ lori awọ ara, nigbagbogbo pẹlu pupa ati wiwu agbegbe"
Relapsing fever,Ìbà tí ń padà sẹ́yìn,"Recurring episodes of fever, headache, muscle and joint pain, nausea","Awọn iṣẹlẹ ti o nwaye ti iba, orififo, iṣan ati irora apapọ, ríru"
Whipple's disease,Arun Whipple,"Joint pain, diarrhea, abdominal pain, weight loss, malabsorption, fever","Irora apapọ, gbuuru, irora inu, pipadanu iwuwo, malabsorption, iba"
Urinary tract infections (UTIs),Awọn akoran ito (UTIs),"Frequent urination, painful urination, cloudy urine, strong-smelling urine, pelvic pain","ito loorekoore, ito irora, ito kurukuru, ito oorun ti o lagbara, irora ibadi"
Diphtheria,Diphtheria,"Sore throat, fever, swollen glands, weakness, thick gray membrane covering throat and tonsils","Ọfun ọgbẹ, iba, awọn keekeke ti o wú, ailera, awọ awọ grẹy ti o nipọn ti o bo ọfun ati awọn tonsils"
Endocarditis,Endocarditis,"Fever, chills, fatigue, aching joints and muscles, night sweats, shortness of breath
","Iba, otutu, rirẹ, awọn isẹpo ati iṣan irora, lagun alẹ, kuru mimi"
Septicemia,Septicemia,"Fever, chills, rapid breathing, rapid heart rate, confusion, disorientation","Iba, otutu, mimi iyara, iyara ọkan, iporuru, idamu"
Tularemia ,Tularemia ,"Fever, skin ulcers, swollen lymph nodes, sore throat, mouth ulcers, pneumonia","Iba, ọgbẹ awọ ara, awọn apa ọgbẹ ti o wú, ọfun ọfun, ọgbẹ ẹnu, pneumonia"
Anthrax,Anthrax,"Cutaneous: sores, swelling; Inhalational: fever, cough, chest discomfort; Gastrointestinal: nausea, vomiting, abdominal pain","Cutaneous: egbò, wiwu; Inhalational: iba, Ikọaláìdúró, aibalẹ àyà; Ifun inu: ríru, ìgbagbogbo, irora inu"
Brucellosis,Brucellosis,"Fever, sweats, malaise, anorexia, headache, muscle pain, fatigue
","Iba, lagun, malaise, anorexia, orififo, irora iṣan, rirẹ"
Plague,Arun,"Fever, chills, headache, muscle aches, swollen and painful lymph nodes (buboes)","Iba, otutu, orififo, irora iṣan, wiwu ati irora irora (buboes)"
Leptospirosis,Leptospirosis,"High fever, headache, chills, muscle aches, vomiting, jaundice, red eyes","Iba giga, orififo, otutu, irora iṣan, ìgbagbogbo, jaundice, oju pupa"
Shigellosis,Shigellosis,"Diarrhea (often bloody), fever, stomach cramps, tenesmus (feeling of needing to pass stools)","Ìgbẹ́ gbuuru (nigbagbogbo ẹjẹ), ibà, igbẹ inu, tenesmus (imọlara pe o nilo lati kọja awọn ito)
"
Clostridium difficile infection,Clostridium difficile infection,"Watery diarrhea, fever, loss of appetite, nausea, abdominal pain, colitis","Igbẹ gbuuru omi, iba, isonu ti ounjẹ, ríru, irora inu, colitis"
Escherichia coli infections,Escherichia coli infections,"Diarrhea (can be bloody), severe stomach cramps, vomiting, fever","Ìgbẹ́ (le jẹ́ ẹ̀jẹ̀), ìyọnu ìyọnu tó le koko, ìgbagbogbo, ibà"
Peptic ulcers ,Awọn ọgbẹ peptic,"Burning stomach pain, bloating, heartburn, nausea, vomiting, weight loss","Irora ikun ti o njo, didi, heartburn, ríru, ìgbagbogbo, pipadanu iwuwo"
Gonorrhea,Gonorrhea,"Often asymptomatic; painful urination, abnormal discharge from genital organs, pelvic pain","Nigbagbogbo asymptomatic; ito irora, itusilẹ ajeji lati awọn ara inu, irora ibadi"
Syphilis,Syphilis,"Primary: sores; Secondary: rash, mucous membrane lesions; Tertiary: neurological and cardiac symptoms","Alakoko: egbo; Atẹle: sisu, awọn ọgbẹ awọ ara mucous; Ile-ẹkọ giga: neurological ati awọn aami aisan ọkan ọkan"
Chancroid ,Chancroid,"Painful genital ulcers, swollen lymph nodes in the groin","Awọn ọgbẹ inu ti o ni irora, awọn apa ọmu ti o wú ninu ikun"
Bacterial vaginosis,vaginosis kokoro arun,"Vaginal discharge with fishy odor, vaginal itching, burning during urination","Isọjade ti obo pẹlu õrùn ẹja, gbigbọn abẹ, sisun lakoko ito"
Cellulitis,Cellulitis,"Red, swollen, and tender skin, fever, warmth over the affected area","Pupa, wiwu, ati awọ tutu, iba, igbona lori agbegbe ti o kan"
Necrotizing fasciitis,Necrotizing fasciitis,"Severe pain, red or purplish skin, fever, vomiting, shock","Irora nla, pupa tabi awọ eleyi, iba, eebi, mọnamọna"
Leprosy,Adẹtẹ,"Skin lesions, numbness, muscle weakness, eye problems","Awọn egbo awọ ara, numbness, ailera iṣan, awọn iṣoro oju"
Erysipelas,Erysipelas,"Raised red patches on the skin, high fever, chills, swollen lymph nodes","Awọn abulẹ pupa ti a gbe soke lori awọ ara, iba giga, otutu, awọn apa ọmu ti o wú"
Meningitis,Meningitis,"Sudden fever, headache, stiff neck, nausea, vomiting, sensitivity to light, confusion, rash","Iba lojiji, orififo, ọrùn lile, ríru, ìgbagbogbo, ifamọ si imọlẹ, iporuru, sisu"
Tetanus,Tetanus,"Muscle stiffness, spasms, difficulty swallowing, seizures, headache, fever","Gidi iṣan, spasms, iṣoro gbigbe, ijagba, orififo, iba"
Botulism,Botulism,"Muscle weakness, drooping eyelids, difficulty swallowing, blurred vision, paralysis","Ailera iṣan, ipenpeju sisọ silẹ, iṣoro gbigbe, riran ti ko dara, paralysis"
Listeriosis,Listeriosis,"Fever, muscle aches, nausea, diarrhea, stiff neck, confusion","Iba, irora iṣan, ríru, gbuuru, ọrùn lile, iporuru"
Rocky Mountain spotted fever,Rocky Mountain gbo iba,"Fever, rash, headache, nausea, vomiting, muscle pain, lack of appetite","iba, sisu, orififo, ríru, ìgbagbogbo, isan irora, aini ti yanilenu"
Acinetobacter Infections,Awọn akoran Acinetobacter,"Pneumonia, bloodstream infections, wound infections, urinary tract infections, fever, chills","Pneumonia, àkóràn iṣan ẹjẹ, àkóràn ọgbẹ, àkóràn ito, iba, otutu"
Actinomycosis,Actinomycosis,"Swelling and pus-filled lumps on the jaw, chest, or abdomen; fever, weight loss","Ewiwu ati awọn ọmu ti o kun lori bakan, àyà, tabi ikun; iba, àdánù làìpẹ"
Buruli Ulcer,Ọgbẹ Buruli,"Painless swelling or nodule, skin ulceration, bone involvement","Wiwu ti ko ni irora tabi nodule, ọgbẹ ara, ilowosi egungun"
E. coli Infections,E. coli àkóràn,"Diarrhea (can be bloody), severe stomach cramps, vomiting, fever","Ìgbẹ́ (le jẹ́ ẹ̀jẹ̀), ìyọnu ìyọnu tó le koko, ìgbagbogbo, ibà"
Gas Gangrene,Gaasi Gangrene,"Severe pain, swelling, pale skin that turns dark red or black, blisters with foul-smelling discharge, fever","Irora nla, wiwu, awọ ara ti o di pupa dudu tabi dudu, roro pẹlu isunmi gbigbo gbigbo, iba"
Glanders,Glanders,"Fever, muscle aches, chest pain, muscle tightness, cough, headache, nasal discharge, skin abscesses","Iba, irora iṣan, irora àyà, wiwọ iṣan, Ikọaláìdúró, orififo, isun imu, abscesses ara"
Granuloma Inguinale,Granuloma Inguinale,"Painless genital ulcers, lesions that bleed easily, tissue damage, swelling","Awọn ọgbẹ abẹ-ara ti ko ni irora, awọn ọgbẹ ti o ni ẹjẹ ni irọrun, ibajẹ ara, wiwu"
Haemophilus Influenzae,Haemophilus Influenzae,"Fever, headache, stiff neck, joint pain, difficulty breathing, chest pain, cough, ear pain","Iba, orififo, ọrùn lile, irora apapọ, iṣoro mimi, irora àyà, Ikọaláìdúró, irora eti"
Helicobacter pylori,Helicobacter pylori,"Burning stomach pain, bloating, nausea, frequent burping, loss of appetite, weight loss","Irora ikun ti njo, bloating, ríru, gbigbo nigbagbogbo, isonu ti aifẹ, pipadanu iwuwo"
Klebsiella Infections,Awọn àkóràn Klebsiella,"Fever, chills, cough, shortness of breath, chest pain, bloody sputum, abscesses","Iba, otutu, Ikọaláìdúró, ìmí kukuru, irora àyà, sputum ẹjẹ, abscesses"
Legionellosis,Legionellosis,"Cough, shortness of breath, high fever, muscle aches, headaches, chills, confusion, diarrhea","Ikọaláìdúró, ìmí kuru, iba giga, irora iṣan, orififo, otutu, idamu, gbuuru"
Melioidosis,Melioidosis,"Fever, cough, chest pain, joint pain, skin infections, abscesses in organs","Iba, Ikọaláìdúró, irora àyà, irora apapọ, àkóràn awọ ara, abscesses ninu awọn ara"
Mycoplasma pneumoniae,Mycoplasma pneumoniae,"Cough, sore throat, fever, headache, tiredness, chest pain, shortness of breath","Ikọaláìdúró, ọfun ọfun, iba, orififo, rirẹ, irora àyà, mimi"
Nocardiosis,Nocardiosis,"Cough, shortness of breath, chest pain, fever, night sweats, weight loss, skin abscesses","Ikọaláìdúró, ìmí kuru, àyà irora, iba, oru lagun, àdánù làìpẹ, ara abscesses"
Paratyphoid Fever ,Ìbà Àrùn Àrùn,"Prolonged fever, weakness, loss of appetite, headache, stomach pain, diarrhea or constipation","Iba gigun, ailera, isonu ti ounjẹ, orififo, irora inu, gbuuru tabi àìrígbẹyà
"
Staphylococcal Food Poisoning,Staphylococcal Ounjẹ Majele,"Nausea, vomiting, stomach cramps, diarrhea","Ríru, ìgbagbogbo, Ìyọnu cramps, gbuuru"
Streptococcal Infections,Awọn aarun Streptococcal,"Sore throat, fever, red and swollen tonsils, skin infections, joint pain","Ọfun ọgbẹ, iba, pupa ati wiwu tonsils, àkóràn awọ ara, irora apapọ"
Toxic Shock Syndrome,Majele mọnamọna Saa,"Sudden high fever, low blood pressure, vomiting, diarrhea, rash, confusion, muscle aches","Iba giga lojiji, riru ẹjẹ kekere, ìgbagbogbo, gbuuru, sisu, iporuru, irora iṣan"
Trench Fever,Iba Trench,"Fever, headache, dizziness, shin pain, rash, muscle aches, relapsing fever","Iba, orififo, dizziness, irora itan, sisu, irora iṣan, ibà ti o tun pada"
Vancomycin-Resistant Enterococci (VRE),Vancomycin-Resistant Enterococci (VRE),"Urinary tract infections, bloodstream infections, wound infections, fever, chills","Arun inu ito, àkóràn iṣan ẹjẹ, àkóràn ọgbẹ, iba, otutu"
Actinobacillosis,Actinobacillosis,"Swelling, abscesses in the jaw, difficulty eating, fever","Ewiwu, abscesses ni bakan, iṣoro jijẹ, iba"
Anaplasmosis,Anaplasmosis,"Fever, headache, muscle pain, chills, nausea, abdominal pain, cough","Iba, orififo, irora iṣan, otutu, ríru, irora inu, Ikọaláìdúró"
Bordetella bronchiseptica Infections,Bordetella bronchiseptica àkóràn,"Coughing, nasal discharge, difficulty breathing, fever, lethargy","Ikọaláìdúró, isun imu, iṣoro mimi, iba, aibalẹ"
Clostridium perfringens Food Poisoning,Clostridium perfringens Ounjẹ Majele,"Abdominal cramps, diarrhea, nausea, vomiting, fever","Inu inu, gbuuru, ríru, ìgbagbogbo, iba"
Corynebacterium Infections,Awọn àkóràn Corynebacterium,"Sore throat, fever, malaise, pseudomembrane in throat","Ọfun ọgbẹ, iba, malaise, pseudomembrane ninu ọfun"
Ehrlichiosis,Ehrlichiosis,"Fever, headache, chills, muscle aches, nausea, vomiting, confusion, rash","Iba, orififo, otutu, irora iṣan, ríru, ìgbagbogbo, iporuru, sisu"
Enterococcal Infections,Awọn àkóràn Enterococcal,"Urinary tract infections, endocarditis, bacteremia, abdominal pain, fever","Awọn akoran ito, endocarditis, bacteremia, irora inu, iba"
Gardnerella vaginalis Infections,Gardnerella vaginalis àkóràn,"Vaginal discharge with fishy odor, vaginal itching, burning during urination","Isọjade ti oyun pẹlu õrùn ẹja, gbigbọn abẹ, sisun lakoko ito"
Keratitis,Keratitis,"Eye pain, redness, blurred vision, discharge, light sensitivity, tearing","Irora oju, pupa, iran ti ko dara, itusilẹ, ifamọ ina, yiya"
Leptotrichia,Leptotrichia,"Bacteremia, endocarditis, abscesses, fever, chills","Bacteremia, endocarditis, abscesses, iba, otutu"
Meningococcemia,Meningococcemia,"Fever, chills, fatigue, vomiting, rapid breathing, rash","Iba, otutu, rirẹ, ìgbagbogbo, mimi ni kiakia, sisu"
Mycobacterium abscessus,Mycobacterium abscessus,"Skin infections, abscesses, pneumonia, fever, cough, weight loss","Awọn akoran awọ ara, abscesses, pneumonia, iba, Ikọaláìdúró, pipadanu iwuwo"
Mycobacterium avium Complex (MAC),Mycobacterium avium Complex (MAC),"Cough, fever, weight loss, night sweats, fatigue, abdominal pain","Ikọaláìdúró, iba, àdánù làìpẹ, alẹ lagun, rirẹ, inu irora"
Mycoplasma genitalium,Mycoplasma genitalium,"Urethritis, cervicitis, pelvic inflammatory disease, genital discharge, burning during urination","Urethritis, cervicitis, arun iredodo ibadi, itujade ti ara, sisun lakoko ito"
Neonatal Meningitis,Meningitis ọmọ ikoko,"Fever, irritability, poor feeding, lethargy, vomiting, bulging fontanelle","iba, irritability, ko dara ono, lethargy, ìgbagbogbo, bulging fontanelle"
Pasteurellosis,Pasteurellosis,"Swelling, redness, pain at the wound site, fever, chills, abscesses","Wiwu, pupa, irora ni aaye egbo, iba, otutu, abscesses"
Rat-Bite Fever,Ìbà Eku Jáni,"Fever, chills, muscle pain, headache, vomiting, rash, joint pain","Iba, otutu, irora iṣan, orififo, ìgbagbogbo, sisu, irora apapọ"
Rickettsialpox,Rickettsialpox,"Fever, headache, rash, muscle pain, nausea, chills, eschar at the bite site","Iba, orififo, sisu, irora iṣan, ríru, otutu, eschar ni aaye ojola"
Salmonella Typhi,Salmonella Typhi,"Prolonged fever, weakness, loss of appetite, headache, stomach pain, diarrhea or constipation","Iba gigun, ailera, isonu ti ounjẹ, orififo, irora inu, gbuuru tabi àìrígbẹyà
"
Serratia Infections,Awọn àkóràn Serratia,"Urinary tract infections, respiratory infections, wound infections, fever, chills","Arun inu ito, àkóràn atẹgun, àkóràn ọgbẹ, iba, otutu"
Tropheryma whipplei,Tropheryma whipplei,"Joint pain, diarrhea, abdominal pain, weight loss, malabsorption, fever","Irora apapọ, gbuuru, irora inu, pipadanu iwuwo, malabsorption, iba"
Ureaplasma urealyticum,Ureaplasma urealyticum,"Urethritis, pelvic pain, painful urination, genital discharge","Urethritis, irora ibadi, ito irora, itujade ti ara"
Vibrio vulnificus,Vibrio vulnificus,"Diarrhea, abdominal cramps, nausea, vomiting, fever; wound infections can cause redness, swelling, pain","Ìgbẹ́ gbuuru, ìríra inú, ríru, ìgbagbogbo, ibà; awọn àkóràn ọgbẹ le fa pupa, wiwu, irora"
Yersinia enterocolitica,Yersinia enterocolitica,"Fever, abdominal pain, diarrhea (often bloody), joint pain","Iba, irora inu, gbuuru (nigbagbogbo ẹjẹ), irora apapọ"
Diptheria,Diptheria,"Fever, chills, Sore throat, Croup-like (barking) cough, Bloody, watery drainage from nose, difficulty breathing,  fast breathing, Bluish coloration of the skin","Iba, otutu, ọfun ọgbẹ, Ikọaláìdúró-bi (gbigbo), Ẹjẹ, omi imu omi lati imu, iṣoro mimi, mimi yarayara, awọ bulu bulu"
